Test,Tree,n,Structural_Changes_Per_Operation
insert,2-3,256,0.68359375
insert,2-3,304,0.7269736842105263
insert,2-3,362,0.7154696132596685
insert,2-3,430,0.7255813953488373
insert,2-3,512,0.74609375
insert,2-3,608,0.743421052631579
insert,2-3,724,0.744475138121547
insert,2-3,861,0.7305458768873403
insert,2-3,1024,0.7431640625
insert,2-3,1217,0.7403451109285127
insert,2-3,1448,0.7417127071823204
insert,2-3,1722,0.7491289198606271
insert,2-3,2048,0.75
insert,2-3,2435,0.7330595482546202
insert,2-3,2896,0.7548342541436464
insert,2-3,3444,0.747096399535424
insert,2-3,4096,0.737548828125
insert,2-3,4870,0.7474332648870636
insert,2-3,5792,0.743439226519337
insert,2-3,6888,0.7441927990708479
insert,2-3,8192,0.7403564453125
insert,2-3,9741,0.753105430653937
insert,2-3,11585,0.7486404833836858
insert,2-3,13777,0.7416709007766568
insert,2-3,16384,0.7457275390625
insert,2-3,19483,0.7429553970127803
insert,2-3,23170,0.7423823910228744
insert,2-3,27554,0.7477317267910285
insert,2-3,32768,0.74530029296875
insert,2-3,38967,0.744168142274232
insert,2-3,46340,0.7465041001294778
insert,2-3,55108,0.7448827756405604
min,2-3,256,4.98828125
min,2-3,304,4.987938596491228
min,2-3,362,4.321362799263352
min,2-3,430,4.989147286821705
min,2-3,512,5.66015625
min,2-3,608,5.660087719298246
min,2-3,724,4.9935543278084715
min,2-3,861,5.660859465737515
min,2-3,1024,6.329752604166667
min,2-3,1217,6.329772665023281
min,2-3,1448,5.663213627992634
min,2-3,1722,6.330042586140147
min,2-3,2048,6.998046875
min,2-3,2435,6.998083504449007
min,2-3,2896,6.331491712707182
min,2-3,3444,6.998257839721254
min,2-3,4096,7.665608723958333
min,2-3,4870,7.665503080082136
min,2-3,5792,6.999021639042358
min,2-3,6888,7.665747193186218
min,2-3,8192,8.332763671875
min,2-3,9741,8.332717380145775
min,2-3,11585,7.666148755574738
min,2-3,13777,8.332849435048752
min,2-3,16384,8.99969482421875
min,2-3,19483,8.999674930281099
min,2-3,23170,8.333045604948929
min,2-3,27554,8.99973385594348
min,2-3,32768,9.66650390625
min,2-3,38967,9.666495581731551
min,2-3,46340,8.999848942598188
min,2-3,55108,9.66652754590985
random,2-3,256,0.69921875
random,2-3,304,0.6732456140350878
random,2-3,362,0.7320441988950276
random,2-3,430,0.7116279069767442
random,2-3,512,0.7565104166666666
random,2-3,608,0.7094298245614035
random,2-3,724,0.738950276243094
random,2-3,861,0.7429345722028649
random,2-3,1024,0.7180989583333334
random,2-3,1217,0.7504793207340454
random,2-3,1448,0.7186924493554327
random,2-3,1722,0.7276422764227642
random,2-3,2048,0.7345377604166666
random,2-3,2435,0.7507186858316222
random,2-3,2896,0.7549493554327809
random,2-3,3444,0.7430313588850174
random,2-3,4096,0.7316080729166666
random,2-3,4870,0.7425735797399041
random,2-3,5792,0.7506906077348067
random,2-3,6888,0.7449670925280681
random,2-3,8192,0.7500813802083334
random,2-3,9741,0.7429764226807651
random,2-3,11585,0.7392029923751978
random,2-3,13777,0.7374125958723476
random,2-3,16384,0.7465616861979166
random,2-3,19483,0.7460863316737669
random,2-3,23170,0.7480937994533161
random,2-3,27554,0.7420580194043213
random,2-3,32768,0.7405598958333334
random,2-3,38967,0.7423631962087578
random,2-3,46340,0.7432168033376493
random,2-3,55108,0.7432738138443299
insert,2-4,256,0.484375
insert,2-4,304,0.4901315789473684
insert,2-4,362,0.5193370165745856
insert,2-4,430,0.49534883720930234
insert,2-4,512,0.517578125
insert,2-4,608,0.5148026315789473
insert,2-4,724,0.4972375690607735
insert,2-4,861,0.5040650406504065
insert,2-4,1024,0.51171875
insert,2-4,1217,0.5119145439605588
insert,2-4,1448,0.5193370165745856
insert,2-4,1722,0.5197444831591173
insert,2-4,2048,0.51611328125
insert,2-4,2435,0.5162217659137577
insert,2-4,2896,0.5127762430939227
insert,2-4,3444,0.514808362369338
insert,2-4,4096,0.51416015625
insert,2-4,4870,0.5139630390143737
insert,2-4,5792,0.5139848066298343
insert,2-4,6888,0.519163763066202
insert,2-4,8192,0.5244140625
insert,2-4,9741,0.5189405605174007
insert,2-4,11585,0.5181700474751835
insert,2-4,13777,0.5138999782245772
insert,2-4,16384,0.5194091796875
insert,2-4,19483,0.5205050556895755
insert,2-4,23170,0.5189037548554165
insert,2-4,27554,0.5215213762067213
insert,2-4,32768,0.519378662109375
insert,2-4,38967,0.519259886570688
insert,2-4,46340,0.5192921881743634
insert,2-4,55108,0.5193438339261087
min,2-4,256,0.16145833333333334
min,2-4,304,0.1611842105263158
min,2-4,362,0.16022099447513813
min,2-4,430,0.16279069767441862
min,2-4,512,0.16276041666666666
min,2-4,608,0.16447368421052633
min,2-4,724,0.1643646408839779
min,2-4,861,0.16453735965931088
min,2-4,1024,0.16471354166666666
min,2-4,1217,0.16488633251164064
min,2-4,1448,0.1652854511970534
min,2-4,1722,0.1651180797522261
min,2-4,2048,0.16552734375
min,2-4,2435,0.16563997262149213
min,2-4,2896,0.1658609576427256
min,2-4,3444,0.16608594657375145
min,2-4,4096,0.16617838541666666
min,2-4,4870,0.16611909650924025
min,2-4,5792,0.16632136279926335
min,2-4,6888,0.166182733255904
min,2-4,8192,0.16630045572916666
min,2-4,9741,0.16630736064059132
min,2-4,11585,0.16642209753992232
min,2-4,13777,0.1664610098957199
min,2-4,16384,0.16646321614583334
min,2-4,19483,0.16653834967236394
min,2-4,23170,0.16655157531290463
min,2-4,27554,0.16655778955263603
min,2-4,32768,0.16658528645833334
min,2-4,38967,0.16657684707573076
min,2-4,46340,0.1665947345705654
min,2-4,55108,0.1666061793810941
random,2-4,256,0.2799479166666667
random,2-4,304,0.29605263157894735
random,2-4,362,0.26611418047882135
random,2-4,430,0.3023255813953488
random,2-4,512,0.2799479166666667
random,2-4,608,0.2993421052631579
random,2-4,724,0.285451197053407
random,2-4,861,0.2981029810298103
random,2-4,1024,0.3033854166666667
random,2-4,1217,0.29800054779512464
random,2-4,1448,0.30363720073664824
random,2-4,1722,0.2988772744870306
random,2-4,2048,0.2976888020833333
random,2-4,2435,0.3004791238877481
random,2-4,2896,0.30098987108655617
random,2-4,3444,0.2970383275261324
random,2-4,4096,0.2981770833333333
random,2-4,4870,0.3024640657084189
random,2-4,5792,0.3013351749539595
random,2-4,6888,0.30178087495160666
random,2-4,8192,0.2962239583333333
random,2-4,9741,0.2983608801286658
random,2-4,11585,0.30079125305711407
random,2-4,13777,0.2976700297597445
random,2-4,16384,0.2985432942708333
random,2-4,19483,0.30082636144330954
random,2-4,23170,0.2987483815278377
random,2-4,27554,0.2999927415257313
random,2-4,32768,0.298583984375
random,2-4,38967,0.298885381647719
random,2-4,46340,0.3006617752841318
random,2-4,55108,0.2975672013742711
