Cache_Config,Impl,N,Misses_Per_Item
m1024-b16,naive,32,0.000000
m1024-b16,naive,38,0.073969
m1024-b16,naive,45,0.078283
m1024-b16,naive,53,0.077649
m1024-b16,naive,64,0.108631
m1024-b16,naive,76,0.242281
m1024-b16,naive,90,0.330712
m1024-b16,naive,107,0.391201
m1024-b16,naive,128,0.428273
m1024-b16,naive,152,0.462400
m1024-b16,naive,181,0.485298
m1024-b16,naive,215,0.497979
m1024-b16,naive,256,0.506526
m1024-b16,naive,304,0.513972
m1024-b16,naive,362,0.520844
m1024-b16,naive,430,0.524307
m1024-b16,naive,512,0.525540
m1024-b16,naive,608,0.527324
m1024-b16,naive,724,0.529183
m1024-b16,naive,861,0.530042
m1024-b16,naive,1024,0.530053
m1024-b16,naive,1217,0.530872
m1024-b16,naive,1448,0.530940
m1024-b16,naive,1722,0.531207
m1024-b16,naive,2048,0.531065
m1024-b16,naive,2435,0.531308
m1024-b16,naive,2896,0.531205
m1024-b16,naive,3444,0.531352
m1024-b16,naive,4096,0.531261
m1024-b16,naive,4870,0.531365
m1024-b16,naive,5792,0.531279
m1024-b16,naive,6888,0.531319
m1024-b16,naive,8192,0.531281
m1024-b16,smart,32,0.000000
m1024-b16,smart,38,0.092461
m1024-b16,smart,45,0.100505
m1024-b16,smart,53,0.105225
m1024-b16,smart,64,0.063492
m1024-b16,smart,76,0.110351
m1024-b16,smart,90,0.104619
m1024-b16,smart,107,0.111973
m1024-b16,smart,128,0.062992
m1024-b16,smart,152,0.110927
m1024-b16,smart,181,0.104512
m1024-b16,smart,215,0.113215
m1024-b16,smart,256,0.062745
m1024-b16,smart,304,0.108791
m1024-b16,smart,362,0.104230
m1024-b16,smart,430,0.114138
m1024-b16,smart,512,0.062622
m1024-b16,smart,608,0.108623
m1024-b16,smart,724,0.104338
m1024-b16,smart,861,0.114346
m1024-b16,smart,1024,0.062561
m1024-b16,smart,1217,0.110399
m1024-b16,smart,1448,0.105105
m1024-b16,smart,1722,0.114591
m1024-b16,smart,2048,0.062531
m1024-b16,smart,2435,0.111647
m1024-b16,smart,2896,0.108345
m1024-b16,smart,3444,0.114630
m1024-b16,smart,4096,0.062515
m1024-b16,smart,4870,0.111610
m1024-b16,smart,5792,0.108331
m1024-b16,smart,6888,0.113292
m1024-b16,smart,8192,0.062508
m8192-b64,naive,32,0.000000
m8192-b64,naive,38,0.000000
m8192-b64,naive,45,0.000000
m8192-b64,naive,53,0.000000
m8192-b64,naive,64,0.000000
m8192-b64,naive,76,0.000000
m8192-b64,naive,90,0.000000
m8192-b64,naive,107,0.018868
m8192-b64,naive,128,0.023438
m8192-b64,naive,152,0.170268
m8192-b64,naive,181,0.273511
m8192-b64,naive,215,0.342447
m8192-b64,naive,256,0.388159
m8192-b64,naive,304,0.425786
m8192-b64,naive,362,0.450674
m8192-b64,naive,430,0.468190
m8192-b64,naive,512,0.478439
m8192-b64,naive,608,0.487747
m8192-b64,naive,724,0.494278
m8192-b64,naive,861,0.498421
m8192-b64,naive,1024,0.500717
m8192-b64,naive,1217,0.503358
m8192-b64,naive,1448,0.504741
m8192-b64,naive,1722,0.505750
m8192-b64,naive,2048,0.506160
m8192-b64,naive,2435,0.506896
m8192-b64,naive,2896,0.507183
m8192-b64,naive,3444,0.507433
